Title,Description,Date,Location,Source,URL,Organiser
Networking Skills Workshop,"Making new contacts is essential to the success of any business and regular networking is one of the best ways to promote your business. At this free, interactive workshop you will learn some simple techniques which will build your confidence and help you get the most out of networking",Mon May 24 00:00:00 +0100 2010,"Reigate Town Hall, Castlefield Road, Reigate, Surrey, RH2 0SH",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=210&r.lc=en&type=EVENTS&itemId=5001526755,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Tue May 25 00:00:00 +0100 2010,"Barrington Road, Worthing",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Paying Your Employees,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Tue May 25 00:00:00 +0100 2010,"London Road, Twickenham",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/london.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Tue May 25 00:00:00 +0100 2010,"Waterhouse Street, Hemel Hempstead",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/central.htm,Business Link
Business Operations for Start-Ups,"This workshop provides key information on the operations of a business including the resources required, systems and procedures, production, health and safety and quality.
This workshop also provides guidance on other areas such as the advantages and disadvantages of working from home and environmental issues.",Wed May 26 00:00:00 +0100 2010,"84 Marsh Road, Rhyl, Denbighshire",Business Link,http://ms.fs4b.wales.gov.uk/business_events_wales/events/w-1/W3_-_EVT7823_-_DEA_-_260510.aspx,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Thu May 27 00:00:00 +0100 2010,"Castle Street, High Wycombe",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Financial Planning for Start-Ups,"This workshop will take you through the process of preparing and analysing financial statements and provides information on how to prepare cash flow forecasts, profit & loss accounts and balance sheets.
The workshop demonstrates how using and understanding these tools can help you to control your business finances.",Thu May 27 00:00:00 +0100 2010,"84 Marsh Road, Rhyl, Denbighshire",Business Link,http://ms.fs4b.wales.gov.uk/business_events_wales/events/w-1/W5_-_EVT7825_-_DEA_-_270510.aspx,Business Link
Financial Planning for Start-Ups,"This workshop will take you through the process of preparing and analysing financial statements and provides information on how to prepare cash flow forecasts, profit & loss accounts and balance sheets.
The workshop demonstrates how using and understanding these tools can help you to control your business finances.",Fri May 28 00:00:00 +0100 2010,"127 Bute Street, Cardiff",Business Link,http://ms.fs4b.wales.gov.uk/business_events_wales/events/w-1/W5_-_EVT7330_-_BIF_-_280510.aspx,Business Link
Procurement Trainaing Workshop - London 2012 Olympic & Paralympic Games  ,"Ensure you are ready to compete for London 2012 and other public sector opportunities. 
There are thousands of opportunities for SMEs to win business from the public sector. There are, however, a number of procedures and processes that you must understand to ensure that you maximise these opportunities. ",Tue May 25 00:00:00 +0100 2010,"Royal National College for the Blind, College Road, Hereford.",Business Link,http://www.procurementworkshops.co.uk/,Business Link
Introductory - Accessing Public Sector Tenders,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",Wed May 26 00:00:00 +0100 2010,"14 St Enoch Square, GLASGOW, G1 4DB",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Wed Jun 02 00:00:00 +0100 2010,"Southgate Street, Gloucester",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Wed Jun 09 00:00:00 +0100 2010,"John Smith Drive, Oxford Business Park South",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Thu Jun 10 00:00:00 +0100 2010,"Silbury Boulevard, Milton Keynes",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
